quote,cited
Dynamic QoS control of multimedia applications based on ,UCL facsimile system.
Dynamic QoS control of multimedia applications based on ,Graph decomposition with applications to subdivisions and path systems modulo 
Feature Extraction in Character Recognition with Associative Memory Classifier.,Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.
Feature Extraction in Character Recognition with Associative Memory Classifier.,The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.
Feature Extraction in Character Recognition with Associative Memory Classifier.,Syntax and Semantics: A Categorical View
Feature Extraction in Character Recognition with Associative Memory Classifier.,A knowledge based decision support system for computer performance management.
Feature Extraction in Character Recognition with Associative Memory Classifier.,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
A Variable Step Size LMS Algorithm Using Fuzzy Logic.,On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.
A Variable Step Size LMS Algorithm Using Fuzzy Logic.,Multichannel bandwidth allocation in a broadband packet switch.
A Variable Step Size LMS Algorithm Using Fuzzy Logic.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
A Variable Step Size LMS Algorithm Using Fuzzy Logic.,The significance of microprogramming.
A Variable Step Size LMS Algorithm Using Fuzzy Logic.,Two Poset Polytopes.
Literate specifications.,Multichannel bandwidth allocation in a broadband packet switch.
Literate specifications.,Syntax and Semantics: A Categorical View
Literate specifications.,IO and OI. II.
Literate specifications.,Query Optimization in Star Computer Networks.
Literate specifications.,A pragmatic approach to integrated process/device/circuit simulation for IC technology development.
On rank of block Hankel matrix for 2-D frequency detection and estimation.,"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7."
On rank of block Hankel matrix for 2-D frequency detection and estimation.,The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.
On rank of block Hankel matrix for 2-D frequency detection and estimation.,Asymptotically optimal quantizers for detection of I.I.D. data.
On rank of block Hankel matrix for 2-D frequency detection and estimation.,Issues in International Public Data Networking.
On rank of block Hankel matrix for 2-D frequency detection and estimation.,The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.
An efficient volume- rendering algorithm with an analytic approach.,Multichannel bandwidth allocation in a broadband packet switch.
An efficient volume- rendering algorithm with an analytic approach.,Prometheus or Pandora: The Influence of Automation on Society.
An efficient volume- rendering algorithm with an analytic approach.,Reduction of sample sizes in network sampling models.
An efficient volume- rendering algorithm with an analytic approach.,Structuring and modules for knowledge bases: motivation for a new model.
mpC: a Multi-Paradigm Programming Language for Massively Parallel Computers.,Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.
mpC: a Multi-Paradigm Programming Language for Massively Parallel Computers.,The Changing Library Environment.
mpC: a Multi-Paradigm Programming Language for Massively Parallel Computers.,User-Like Executives.
mpC: a Multi-Paradigm Programming Language for Massively Parallel Computers.,Static Scheduling for Dynamic Dataflow Machines.
mpC: a Multi-Paradigm Programming Language for Massively Parallel Computers.,A library network model.
Sybase System 11 Online Capabilities.,Towards a logical reconstruction of structured modeling.
Sybase System 11 Online Capabilities.,Syntax and Semantics: A Categorical View
Sybase System 11 Online Capabilities.,A modified cumulant matrix for DOA estimation.
Sybase System 11 Online Capabilities.,Prometheus or Pandora: The Influence of Automation on Society.
Sybase System 11 Online Capabilities.,A pragmatic approach to integrated process/device/circuit simulation for IC technology development.
"A Stochastic Formulation of the Dynamic Assignment Problem, with an Application to Truckload Motor Carriers.","One-Tape, Off-Line Turing Machine Computations"
"A Stochastic Formulation of the Dynamic Assignment Problem, with an Application to Truckload Motor Carriers.",Topologic Proofs of Some Combinatorial Theorems.
"A Stochastic Formulation of the Dynamic Assignment Problem, with an Application to Truckload Motor Carriers.",UCL facsimile system.
"A Stochastic Formulation of the Dynamic Assignment Problem, with an Application to Truckload Motor Carriers.",Special issue: Intelligent user interfaces.
"A Stochastic Formulation of the Dynamic Assignment Problem, with an Application to Truckload Motor Carriers.",Efficient priority-first search maximum-likelihood soft-decision decoding of linear block codes.
Defending the Boundaries: Identifying and Countering Threats in a Usenet Newsgroup.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
Defending the Boundaries: Identifying and Countering Threats in a Usenet Newsgroup.,Cerebrospinal fluid control system.
Defending the Boundaries: Identifying and Countering Threats in a Usenet Newsgroup.,Topologic Proofs of Some Combinatorial Theorems.
Defending the Boundaries: Identifying and Countering Threats in a Usenet Newsgroup.,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
Defending the Boundaries: Identifying and Countering Threats in a Usenet Newsgroup.,Two-dimensional dot codes for product identification.
Explorations into Virtual Architecture: A HIT Lab Gallery.,Multichannel bandwidth allocation in a broadband packet switch.
Explorations into Virtual Architecture: A HIT Lab Gallery.,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
Explorations into Virtual Architecture: A HIT Lab Gallery.,Prometheus or Pandora: The Influence of Automation on Society.
Explorations into Virtual Architecture: A HIT Lab Gallery.,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics."
Explorations into Virtual Architecture: A HIT Lab Gallery.,Two-dimensional dot codes for product identification.
LexBFS-orderings and powers of chordal graphs.,Stabilizing an Uncertain Production System.
LexBFS-orderings and powers of chordal graphs.,Markov Chain Model for Events Following Induced Abortion.
LexBFS-orderings and powers of chordal graphs.,VSAT data networks.
LexBFS-orderings and powers of chordal graphs.,UCL facsimile system.
LexBFS-orderings and powers of chordal graphs.,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics."
DVB - vom Digitalen Fernsehen zum Datenrundfunk.,Traffic Hazards on the Superhighway.
DVB - vom Digitalen Fernsehen zum Datenrundfunk.,"One-Tape, Off-Line Turing Machine Computations"
DVB - vom Digitalen Fernsehen zum Datenrundfunk.,Reduction of sample sizes in network sampling models.
DVB - vom Digitalen Fernsehen zum Datenrundfunk.,Query Optimization in Star Computer Networks.
Finding Rectilinear Paths Among Obstacles in a Two-Layer Interconnection Model.,Multichannel bandwidth allocation in a broadband packet switch.
Finding Rectilinear Paths Among Obstacles in a Two-Layer Interconnection Model.,Syntax and Semantics: A Categorical View
Finding Rectilinear Paths Among Obstacles in a Two-Layer Interconnection Model.,Structuring and modules for knowledge bases: motivation for a new model.
Finding Rectilinear Paths Among Obstacles in a Two-Layer Interconnection Model.,Topologic Proofs of Some Combinatorial Theorems.
Finding Rectilinear Paths Among Obstacles in a Two-Layer Interconnection Model.,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
Systematic Integration of Design Methods.,Structuring and modules for knowledge bases: motivation for a new model.
Systematic Integration of Design Methods.,Algorithms for Shape Analysis of Contours and Waveforms.
Systematic Integration of Design Methods.,Localized measurement of image fractal dimension using gabor filters.
Systematic Integration of Design Methods.,A new lower bound for the minimum distance of a cyclic code.
Systematic Integration of Design Methods.,A fast graphics printing program for neurophysiological data.
Reconstructing Binary Signals by Rule-Based Fuzzy Equalizer with Self-Organizing Capability.,A modified cumulant matrix for DOA estimation.
Reconstructing Binary Signals by Rule-Based Fuzzy Equalizer with Self-Organizing Capability.,VSAT data networks.
Reconstructing Binary Signals by Rule-Based Fuzzy Equalizer with Self-Organizing Capability.,A VLSI architecture for dynamic scene analysis.
Reconstructing Binary Signals by Rule-Based Fuzzy Equalizer with Self-Organizing Capability.,IO and OI. II.
Reconstructing Binary Signals by Rule-Based Fuzzy Equalizer with Self-Organizing Capability.,Special issue: Intelligent user interfaces.
Cognitive strategies observed during problem solving with LOGO.,Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.
Cognitive strategies observed during problem solving with LOGO.,Syntax and Semantics: A Categorical View
